name,balls_faced,runs,30s,50s,ducks,6s,4s,3s,2s,1s,dot,balls_delivered,overs_delivered,wides,noballs,runs_given,wickets,5wh,4wh,outs,economy_rate,bowling_innings,batting_innings,not_outs,player_sr,player_avg,batting_index_espn,bat_pi_1,hard_hitter,rbw,finisher,bat_pi_5,bat_pi_7,bat_pi_8,bowling_strike_rate,bowling_avg,bowl_pi_1,bowl_pi_2,big_wicket_taker,short_performance,bowl_pi_5,bowl_pi_6,bowl_pi_7,bowl_pi_8
Renuka Singh,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,186.00,31.00,18.00,0.00,226.00,2.00,0.00,0.00,0.00,7.29,10.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,1.00,1.00,100.00,0.00,0.00,93.00,113.00,105.09,,0.00,0.20,,10509.00,107.63,0.03
SFM Devine,108.00,136.00,1.00,0.00,0.00,7.00,13.00,0.00,0.00,42.00,49.00,141.00,23.50,9.00,0.00,174.00,6.00,0.00,0.00,9.00,7.40,9.00,10.00,1.00,125.93,15.11,38.06,19.03,0.87,0.48,0.10,141.04,1902.88,74.12,23.50,29.00,6.82,,0.00,0.67,,681.50,27.51,0.13
S Molineux,84.00,78.00,1.00,0.00,0.00,0.00,10.00,0.00,2.00,34.00,40.00,232.00,38.67,4.00,0.00,278.00,15.00,0.00,1.00,6.00,7.19,10.00,7.00,1.00,92.86,13.00,24.14,12.07,0.48,0.51,0.14,105.86,1207.14,56.80,15.47,18.53,2.87,,0.10,1.22,,286.65,17.71,0.19
S Asha,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,159.00,26.50,3.00,0.00,185.00,13.00,1.00,0.00,1.00,6.98,10.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.23,14.23,1.74,,0.10,0.78,,174.05,13.70,0.24
G Wareham,68.00,111.00,1.00,0.00,1.00,3.00,12.00,0.00,6.00,33.00,14.00,175.00,29.17,6.00,0.00,232.00,8.00,0.00,0.00,5.00,7.95,10.00,6.00,1.00,163.24,22.20,72.48,36.24,0.97,0.85,0.17,185.44,3623.82,99.13,21.88,29.00,6.34,,0.00,0.80,,634.38,27.03,0.14
N de Klerk,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,25.00,4.17,0.00,1.00,35.00,2.00,0.00,0.00,1.00,8.40,1.00,1.00,0.00,50.00,1.00,1.00,0.50,0.00,0.50,0.00,51.00,50.00,18.80,12.50,17.50,2.19,,0.00,2.00,,218.75,16.09,0.24
SR Patil,14.00,19.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,7.00,4.00,131.00,21.83,2.00,0.00,157.00,13.00,0.00,2.00,0.00,7.19,8.00,4.00,4.00,135.71,0.00,0.00,0.00,0.71,0.75,1.00,135.71,0.00,0.00,10.08,12.08,1.22,,0.25,0.83,,121.70,11.54,0.29
S Mandhana,224.00,300.00,2.00,2.00,0.00,10.00,40.00,0.00,7.00,66.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,133.93,30.00,80.36,40.18,0.98,0.46,0.00,163.93,4017.86,92.14,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
M Mani,3.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00,48.00,8.00,0.00,0.00,63.00,3.00,0.00,0.00,1.00,7.88,4.00,1.00,0.00,166.67,5.00,16.67,8.33,1.33,0.50,0.00,171.67,833.33,69.36,16.00,21.00,3.36,,0.00,0.75,,336.00,19.62,0.19
S Meghana,149.00,168.00,2.00,1.00,0.00,3.00,20.00,0.00,5.00,60.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,6.00,1.00,112.75,33.60,75.77,37.88,0.66,0.56,0.17,146.35,3788.46,83.31,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
RM Ghosh,181.00,257.00,2.00,2.00,0.00,10.00,32.00,0.00,6.00,62.00,78.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,9.00,3.00,141.99,42.83,121.64,60.82,1.04,0.50,0.33,184.82,6081.86,105.23,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
SD Bahadur,4.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,6.00,1.00,0.00,0.00,11.00,0.00,0.00,0.00,1.00,11.00,1.00,2.00,1.00,75.00,3.00,4.50,2.25,0.00,0.75,0.50,78.00,225.00,33.54,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,33.00
SB Pokharkar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,4.17,0.00,1.00,35.00,0.00,0.00,0.00,0.00,8.40,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,25.20
EA Perry,276.00,347.00,4.00,2.00,0.00,7.00,41.00,1.00,12.00,114.00,108.00,99.00,16.50,2.00,1.00,109.00,7.00,1.00,0.00,5.00,6.61,7.00,9.00,4.00,125.72,69.40,174.51,87.25,0.75,0.62,0.44,195.12,8725.29,108.37,14.14,15.57,2.20,,0.14,0.17,,220.22,15.20,0.21
DD Kasat,7.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
T Bhatia,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
D Hemalatha,89.00,115.00,1.00,1.00,1.00,3.00,11.00,1.00,3.00,39.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,7.00,2.00,129.21,23.00,59.44,29.72,0.70,0.71,0.29,152.21,2971.91,83.93,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
BS Fulmali,53.00,64.00,1.00,0.00,0.00,1.00,8.00,0.00,3.00,20.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,3.00,1.00,120.75,32.00,77.28,38.64,0.72,0.59,0.33,152.75,3864.15,86.64,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
SM Shakil,2.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,73.00,12.17,1.00,0.00,84.00,4.00,0.00,0.00,2.00,6.90,4.00,2.00,0.00,50.00,0.50,0.50,0.25,0.00,0.50,0.00,50.50,25.00,15.81,18.25,21.00,3.83,,0.00,1.00,,383.25,20.28,0.16
H Deol,64.00,48.00,0.00,0.00,0.00,1.00,4.00,1.00,2.00,20.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,3.00,0.00,75.00,16.00,24.00,12.00,0.34,0.44,0.00,91.00,1200.00,50.97,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
S Rana,14.00,13.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,5.00,8.00,62.00,10.33,0.00,0.00,104.00,0.00,0.00,0.00,3.00,10.06,4.00,3.00,0.00,92.86,4.33,8.05,4.02,0.57,0.42,0.00,97.19,402.38,43.16,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,30.19
LMM Tahuhu,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,31.00,5.17,1.00,0.00,38.00,1.00,0.00,0.00,1.00,7.35,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,38.00,11.78,,0.00,0.50,,1178.00,36.11,0.10
E Bisht,5.00,12.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,2.00,0.00,26.00,4.33,2.00,0.00,41.00,0.00,0.00,0.00,1.00,9.46,2.00,1.00,0.00,240.00,12.00,57.60,28.80,1.20,1.50,0.00,252.00,2880.00,113.49,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,28.38
AC Jayangani,27.00,28.00,0.00,0.00,1.00,0.00,6.00,0.00,1.00,2.00,18.00,91.00,15.17,1.00,0.00,103.00,3.00,0.00,0.00,4.00,6.79,4.00,4.00,0.00,103.70,7.00,14.52,7.26,0.89,0.19,0.00,110.70,725.93,52.86,30.33,34.33,10.41,,0.00,0.75,,1041.44,33.29,0.10
K Anjali Sarvani,4.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,59.00,9.83,5.00,0.00,103.00,2.00,0.00,0.00,0.00,10.47,4.00,1.00,1.00,75.00,0.00,0.00,0.00,0.00,0.75,1.00,75.00,0.00,0.00,29.50,51.50,15.19,,0.00,0.50,,1519.25,44.80,0.10
RS Gayakwad,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,162.00,27.00,0.00,0.00,237.00,6.00,0.00,0.00,0.00,8.78,8.00,1.00,1.00,50.00,0.00,0.00,0.00,0.00,0.50,1.00,50.00,0.00,0.00,27.00,39.50,10.67,,0.00,0.75,,1066.50,35.92,0.11
GM Harris,138.00,188.00,2.00,1.00,0.00,7.00,23.00,0.00,3.00,48.00,59.00,109.00,18.17,2.00,0.00,123.00,5.00,0.00,0.00,6.00,6.77,7.00,8.00,2.00,136.23,31.33,85.37,42.69,0.97,0.50,0.25,167.57,4268.60,94.34,21.80,24.60,5.36,,0.00,0.71,,536.28,23.87,0.14
S Ecclestone,20.00,19.00,0.00,0.00,1.00,1.00,1.00,0.00,2.00,5.00,11.00,192.00,32.00,3.00,0.00,207.00,15.00,0.00,2.00,4.00,6.47,8.00,5.00,1.00,95.00,4.75,9.03,4.51,0.50,0.50,0.20,99.75,451.25,44.92,12.80,13.80,1.77,,0.25,1.17,,176.64,13.54,0.23
DB Sharma,216.00,295.00,1.00,3.00,0.00,8.00,34.00,0.00,7.00,97.00,75.00,180.00,30.00,0.00,0.00,217.00,10.00,0.00,1.00,3.00,7.23,8.00,8.00,5.00,136.57,98.33,268.60,134.30,0.85,0.64,0.63,234.91,13429.78,125.81,18.00,21.70,3.91,,0.13,0.86,,390.60,20.71,0.16
AJ Healy,149.00,175.00,2.00,1.00,0.00,3.00,28.00,0.00,3.00,39.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,8.00,0.00,117.45,21.88,51.38,25.69,0.87,0.38,0.00,139.32,2569.21,77.16,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
KP Navgire,75.00,110.00,0.00,1.00,1.00,7.00,12.00,1.00,1.00,20.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,8.00,0.00,146.67,13.75,40.33,20.17,1.20,0.36,0.00,160.42,2016.67,81.16,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
S Sehrawat,106.00,108.00,2.00,0.00,0.00,3.00,13.00,2.00,6.00,24.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,7.00,0.00,101.89,15.43,31.44,15.72,0.66,0.42,0.00,117.32,1571.97,63.56,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
SZ Thakor,8.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,3.00,5.00,62.00,10.33,2.00,0.00,91.00,3.00,0.00,0.00,1.00,8.81,4.00,2.00,1.00,62.50,5.00,6.25,3.13,0.00,0.63,0.50,67.50,312.50,33.24,20.67,30.33,6.27,,0.00,0.75,,626.89,27.56,0.14
PN Khemnar,90.00,99.00,2.00,0.00,0.00,2.00,14.00,0.00,2.00,32.00,45.00,6.00,1.00,0.00,0.00,7.00,0.00,0.00,0.00,5.00,7.00,1.00,6.00,1.00,110.00,19.80,43.56,21.78,0.76,0.42,0.17,129.80,2178.00,71.65,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,21.00
PP Bala,18.00,19.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,9.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,105.56,0.00,0.00,0.00,0.44,0.69,1.00,105.56,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
IECM Wong,6.00,15.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,3.00,0.00,37.00,6.17,1.00,0.00,50.00,3.00,0.00,0.00,0.00,8.11,2.00,1.00,1.00,250.00,0.00,0.00,0.00,1.67,1.25,1.00,250.00,0.00,0.00,12.33,16.67,2.06,,0.00,1.50,,205.56,15.46,0.24
TM McGrath,34.00,27.00,0.00,0.00,0.00,1.00,2.00,1.00,1.00,8.00,22.00,48.00,8.00,0.00,0.00,83.00,1.00,0.00,0.00,4.00,10.38,3.00,4.00,0.00,79.41,6.75,10.72,5.36,0.41,0.42,0.00,86.16,536.03,42.88,48.00,83.00,39.84,,0.00,0.33,,3984.00,72.38,0.06
U Chetry,10.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,80.00,8.00,12.80,6.40,0.40,0.44,0.00,88.00,640.00,44.99,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
D Vrinda,33.00,18.00,0.00,0.00,1.00,0.00,3.00,0.00,1.00,4.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,54.55,9.00,9.82,4.91,0.36,0.20,0.00,63.55,490.91,34.76,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
G Sultana,6.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,31.00,5.17,1.00,0.00,44.00,0.00,0.00,0.00,0.00,8.52,2.00,2.00,2.00,50.00,0.00,0.00,0.00,0.00,0.50,1.00,50.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,25.55
