name,price,dot,overs_delivered,wides,noballs,runs_given,wickets,5wh,4wh,bowling_innings,economy_rate,bowling_strike_rate,bowling_avg,bowl_pi_1,big_wicket_taker,short_performance,bowl_pi_6,bowl_pi_7,bowl_pi_8
P Vastrakar,190,14,4,1,0,23,2,0,0,3,5.75,12,11.5,1.38,0,0.666666667,138,11.62301215,0.244680851
I Wong,30,107,32.3,6,1,210,15,0,1,10,6.501547988,13,14,1.82,0.1,1.222222222,182,13.74301007,0.226839016
G Wareham,75,6,3.1,0,0,34,1,0,0,2,10.96774194,19,34,6.46,0,0.5,646,29.39663283,0.156898939
T Kanwar,50,63,27,5,1,239,5,0,0,8,8.851851852,32.4,47.8,15.4872,0,0.625,1548.72,43.37177289,0.092211534
M Joshi,30,15,8,4,0,88,2,0,0,5,11,24,44,10.56,0,0.4,1056,37.81310301,0.124410933
S Ishaque,10,97,34.5,2,0,244,15,0,1,10,7.072463768,13.93333333,16.26666667,2.266488889,0.1,1.222222222,226.6488889,15.64903934,0.212221073
J Kalita,10,13,5,3,1,37,1,0,0,4,7.4,30,37,11.1,0,0.25,1110,35.11006284,0.099462366
M Schutt,40,59,26,1,0,220,4,0,0,7,8.461538462,39,55,21.45,0,0.571428571,2145,50.47056527,0.076655052
P Bose,30,28,17,0,0,162,3,0,0,6,9.529411765,34,54,18.36,0,0.5,1836,48.10221212,0.087916064
R Singh,150,36,16.4,1,0,159,1,0,0,6,9.695121951,100,159,159,0,0.166666667,15900,141.5949757,0.029967206
J Jonassen,50,78,35,1,0,269,9,0,0,9,7.685714286,23.33333333,29.88888889,6.974074074,0,1,697.4074074,28.09483748,0.127676405
R Yadav,40,57,24,4,0,173,4,0,0,9,7.208333333,36,43.25,15.57,0,0.444444444,1557,41.31095255,0.082960358
T Norris,10,26,11,1,0,89,7,1,0,5,8.090909091,9.428571429,12.71428571,1.19877551,0.2,0.25,119.877551,11.79859921,0.3115
S Ecclestone,180,97,35.3,3,0,235,16,0,1,9,6.657223796,13.3125,14.6875,1.955273438,0.111111111,1.5,195.5273438,14.33097752,0.221716415
R Gayakwad,40,70,30,1,0,246,7,0,0,8,8.2,25.71428571,35.14285714,9.036734694,0,0.875,903.6734694,32.50284798,0.115988235
S Ismail,100,38,10.3,1,4,92,3,0,0,3,8.932038835,21,30.66666667,6.44,0,1,644,27.8968234,0.14188043
A Reddy,30,18,9,5,0,68,2,0,0,4,7.555555556,27,34,9.18,0,0.5,918,32.09594217,0.110449377
K Zanzad,25,3,2,0,0,22,0,0,0,1,11,0,0,0,0,0,0,0,33
S Pawar,10,1,1,0,0,11,0,0,0,1,11,0,0,0,0,0,0,0,33
P Yadav,30,5,3,0,0,25,0,0,0,2,8.333333333,0,0,0,0,0,0,0,25
K Sarvani,55,56,23,11,0,182,4,0,0,9,7.913043478,34.5,45.5,15.6975,0,0.444444444,1569.75,42.45837038,0.086584206
M Patel,30,7,5,2,0,61,1,0,0,2,12.2,30,61,18.3,0,0.5,1830,51.08315237,0.099673203
